ticker,exchange,name,tradingsymbol,instrument_key,isin
EICHERMOT.NS,NSE,Eicher Motors Limited,EICHERMOT,,INE066A01021
LAURUSLABS.NS,NSE,Laurus Labs Limited,LAURUSLABS,,INE947Q01028
KAYNES.NS,NSE,Kaynes Technology India Limited,KAYNES,,INE918Z01012
SUPREMEIND.NS,NSE,Supreme Industries Limited,SUPREMEIND,,INE195A01028
APOLLOHOSP.NS,NSE,Apollo Hospitals Enterprise Limited,APOLLOHOSP,,INE437A01024
ASTRAL.NS,NSE,Astral Limited,ASTRAL,,INE006I01046
DIVISLAB.NS,NSE,Divi's Laboratories Limited,DIVISLAB,,INE361B01024
BHARATFORG.NS,NSE,Bharat Forge Limited,BHARATFORG,,INE465A01025
MAXHEALTH.NS,NSE,Max Healthcare Institute Limited,MAXHEALTH,,INE027H01010
SBIN.NS,NSE,State Bank of India,SBIN,,INE062A01020
FORTIS.NS,NSE,Fortis Healthcare Limited,FORTIS,,INE061F01013
POLICYBZR.NS,NSE,PB Fintech Limited,POLICYBZR,,INE417T01026
GLENMARK.NS,NSE,Glenmark Pharmaceuticals Limited,GLENMARK,,INE935A01035
FEDERALBNK.NS,NSE,The Federal Bank  Limited,FEDERALBNK,,INE171A01029
PGEL.NS,NSE,PG Electroplast Limited,PGEL,,INE457L01029
BRITANNIA.NS,NSE,Britannia Industries Limited,BRITANNIA,,INE216A01030
TVSMOTOR.NS,NSE,TVS Motor Company Limited,TVSMOTOR,,INE494B01023
BOSCHLTD.NS,NSE,Bosch Limited,BOSCHLTD,,INE323A01026
IDEA.NS,NSE,Vodafone Idea Limited,IDEA,,INE669E01016
AMBER.NS,NSE,Amber Enterprises India Limited,AMBER,,INE371P01015
HINDZINC.NS,NSE,Hindustan Zinc Limited,HINDZINC,,INE267A01025
PIIND.NS,NSE,PI Industries Limited,PIIND,,INE603J01030
VEDL.NS,NSE,Vedanta Limited,VEDL,,INE205A01025
INDUSTOWER.NS,NSE,Indus Towers Limited,INDUSTOWER,,INE121J01017
MARUTI.NS,NSE,Maruti Suzuki India Limited,MARUTI,,INE585B01010
APLAPOLLO.NS,NSE,APL Apollo Tubes Limited,APLAPOLLO,,INE702C01027
VOLTAS.NS,NSE,Voltas Limited,VOLTAS,,INE226A01021
TATAPOWER.NS,NSE,Tata Power Company Limited,TATAPOWER,,INE245A01021
PHOENIXLTD.NS,NSE,The Phoenix Mills Limited,PHOENIXLTD,,INE211B01039
IOC.NS,NSE,Indian Oil Corporation Limited,IOC,,INE242A01010
GODREJPROP.NS,NSE,Godrej Properties Limited,GODREJPROP,,INE484J01027
AUROPHARMA.NS,NSE,Aurobindo Pharma Limited,AUROPHARMA,,INE406A01037
CROMPTON.NS,NSE,Crompton Greaves Consumer Electricals Limited,CROMPTON,,INE299U01018
MUTHOOTFIN.NS,NSE,Muthoot Finance Limited,MUTHOOTFIN,,INE414G01012
ADANIGREEN.NS,NSE,Adani Green Energy Limited,ADANIGREEN,,INE364U01010
ADANIENSOL.NS,NSE,Adani Energy Solutions Limited,ADANIENSOL,,INE931S01010
BIOCON.NS,NSE,Biocon Limited,BIOCON,,INE376G01013
ZYDUSLIFE.NS,NSE,Zydus Lifesciences Limited,ZYDUSLIFE,,INE010B01027
ALKEM.NS,NSE,Alkem Laboratories Limited,ALKEM,,INE540L01014
TMPV.NS,NSE,Tata Motors Passenger Vehicles Limited,TMPV,,INE155A01022
SIEMENS.NS,NSE,Siemens Limited,SIEMENS,,INE003A01024
DIXON.NS,NSE,Dixon Technologies (India) Limited,DIXON,,INE935N01020
UNOMINDA.NS,NSE,UNO Minda Limited,UNOMINDA,,INE405E01023
SONACOMS.NS,NSE,Sona BLW Precision Forgings Limited,SONACOMS,,INE073K01018
ICICIGI.NS,NSE,ICICI Lombard General Insurance Company Limited,ICICIGI,,INE765G01017
POWERINDIA.NS,NSE,Hitachi Energy India Limited,POWERINDIA,,INE07Y701011
BAJAJ-AUTO.NS,NSE,Bajaj Auto Limited,BAJAJ-AUTO,,INE917I01010
SHRIRAMFIN.NS,NSE,Shriram Finance Limited,SHRIRAMFIN,,INE721A01047
INDIGO.NS,NSE,InterGlobe Aviation Limited,INDIGO,,INE646L01027
DRREDDY.NS,NSE,Dr. Reddy's Laboratories Limited,DRREDDY,,INE089A01031
SHREECEM.NS,NSE,SHREE CEMENT LIMITED,SHREECEM,,INE070A01015
ONGC.NS,NSE,Oil & Natural Gas Corporation Limited,ONGC,,INE213A01029
POLYCAB.NS,NSE,Polycab India Limited,POLYCAB,,INE455K01017
TRENT.NS,NSE,Trent Limited,TRENT,,INE849A01020
BLUESTARCO.NS,NSE,Blue Star Limited,BLUESTARCO,,INE472A01039
RELIANCE.NS,NSE,Reliance Industries Limited,RELIANCE,,INE002A01018
SAMMAANCAP.NS,NSE,Sammaan Capital Limited,SAMMAANCAP,,INE148I01020
MARICO.NS,NSE,Marico Limited,MARICO,,INE196A01026
MANKIND.NS,NSE,Mankind Pharma Limited,MANKIND,,INE634S01028
UNIONBANK.NS,NSE,Union Bank of India,UNIONBANK,,INE692A01016
PFC.NS,NSE,Power Finance Corporation Limited,PFC,,INE134E01011
LICHSGFIN.NS,NSE,LIC Housing Finance Limited,LICHSGFIN,,INE115A01026
EXIDEIND.NS,NSE,Exide Industries Limited,EXIDEIND,,INE302A01020
NMDC.NS,NSE,NMDC Limited,NMDC,,INE584A01023
CIPLA.NS,NSE,Cipla Limited,CIPLA,,INE059A01026
NHPC.NS,NSE,NHPC Limited,NHPC,,INE848E01016
IEX.NS,NSE,Indian Energy Exchange Limited,IEX,,INE022Q01020
SAIL.NS,NSE,Steel Authority of India Limited,SAIL,,INE114A01011
RBLBANK.NS,NSE,RBL Bank Limited,RBLBANK,,INE976G01028
LUPIN.NS,NSE,Lupin Limited,LUPIN,,INE326A01037
BPCL.NS,NSE,Bharat Petroleum Corporation Limited,BPCL,,INE029A01011
CAMS.NS,NSE,Computer Age Management Services Limited,CAMS,,INE596I01020
PRESTIGE.NS,NSE,Prestige Estates Projects Limited,PRESTIGE,,INE811K01011
HDFCAMC.NS,NSE,HDFC Asset Management Company Limited,HDFCAMC,,INE127D01025
DABUR.NS,NSE,Dabur India Limited,DABUR,,INE016A01026
BANDHANBNK.NS,NSE,Bandhan Bank Limited,BANDHANBNK,,INE545U01014
PPLPHARMA.NS,NSE,Piramal Pharma Limited,PPLPHARMA,,INE0DK501011
OBEROIRLTY.NS,NSE,Oberoi Realty Limited,OBEROIRLTY,,INE093I01010
MOTHERSON.NS,NSE,Samvardhana Motherson International Limited,MOTHERSON,,INE775A01035
SYNGENE.NS,NSE,Syngene International Limited,SYNGENE,,INE398R01022
SBILIFE.NS,NSE,SBI Life Insurance Company Limited,SBILIFE,,INE123W01016
JSWSTEEL.NS,NSE,JSW Steel Limited,JSWSTEEL,,INE019A01038
NTPC.NS,NSE,NTPC Limited,NTPC,,INE733E01010
HAVELLS.NS,NSE,Havells India Limited,HAVELLS,,INE176B01034
BAJAJHLDNG.NS,NSE,Bajaj Holdings & Investment Limited,BAJAJHLDNG,,INE118A01012
CONCOR.NS,NSE,Container Corporation of India Limited,CONCOR,,INE111A01025
BANKBARODA.NS,NSE,Bank of Baroda,BANKBARODA,,INE028A01039
NBCC.NS,NSE,NBCC (India) Limited,NBCC,,INE095N01031
WAAREEENER.NS,NSE,Waaree Energies Limited,WAAREEENER,,INE377N01017
SBICARD.NS,NSE,SBI Cards and Payment Services Limited,SBICARD,,INE018E01016
INDHOTEL.NS,NSE,The Indian Hotels Company Limited,INDHOTEL,,INE053A01029
CGPOWER.NS,NSE,CG Power and Industrial Solutions Limited,CGPOWER,,INE067A01029
KEI.NS,NSE,KEI Industries Limited,KEI,,INE878B01027
TIINDIA.NS,NSE,Tube Investments of India Limited,TIINDIA,,INE974X01010
ICICIBANK.NS,NSE,ICICI Bank Limited,ICICIBANK,,INE090A01021
HINDUNILVR.NS,NSE,Hindustan Unilever Limited,HINDUNILVR,,INE030A01027
UNITDSPR.NS,NSE,United Spirits Limited,UNITDSPR,,INE854D01024
BAJFINANCE.NS,NSE,Bajaj Finance Limited,BAJFINANCE,,INE296A01032
ADANIENT.NS,NSE,Adani Enterprises Limited,ADANIENT,,INE423A01024
HINDPETRO.NS,NSE,Hindustan Petroleum Corporation Limited,HINDPETRO,,INE094A01015
PNBHOUSING.NS,NSE,PNB Housing Finance Limited,PNBHOUSING,,INE572E01012
KOTAKBANK.NS,NSE,Kotak Mahindra Bank Limited,KOTAKBANK,,INE237A01036
GODREJCP.NS,NSE,Godrej Consumer Products Limited,GODREJCP,,INE102D01028
AMBUJACEM.NS,NSE,Ambuja Cements Limited,AMBUJACEM,,INE079A01024
LT.NS,NSE,Larsen & Toubro Limited,LT,,INE018A01030
VBL.NS,NSE,Varun Beverages Limited,VBL,,INE200M01039
JIOFIN.NS,NSE,Jio Financial Services Limited,JIOFIN,,INE758E01017
UPL.NS,NSE,UPL Limited,UPL,,INE628A01036
M&M.NS,NSE,Mahindra & Mahindra Limited,M&M,,INE101A01026
BHARTIARTL.NS,NSE,Bharti Airtel Limited,BHARTIARTL,,INE397D01024
POWERGRID.NS,NSE,Power Grid Corporation of India Limited,POWERGRID,,INE752E01010
ASIANPAINT.NS,NSE,Asian Paints Limited,ASIANPAINT,,INE021A01026
JINDALSTEL.NS,NSE,JINDAL STEEL LIMITED,JINDALSTEL,,INE749A01030
NATIONALUM.NS,NSE,National Aluminium Company Limited,NATIONALUM,,INE139A01034
DMART.NS,NSE,Avenue Supermarts Limited,DMART,,INE192R01011
PATANJALI.NS,NSE,Patanjali Foods Limited,PATANJALI,,INE619A01035
PETRONET.NS,NSE,Petronet LNG Limited,PETRONET,,INE347G01014
SOLARINDS.NS,NSE,Solar Industries India Limited,SOLARINDS,,INE343H01029
SUNPHARMA.NS,NSE,Sun Pharmaceutical Industries Limited,SUNPHARMA,,INE044A01036
PNB.NS,NSE,Punjab National Bank,PNB,,INE160A01022
HUDCO.NS,NSE,Housing & Urban Development Corporation Limited,HUDCO,,INE031A01017
BSE.NS,NSE,BSE Limited,BSE,,INE118H01025
BEL.NS,NSE,Bharat Electronics Limited,BEL,,INE263A01024
TATACONSUM.NS,NSE,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,,INE192A01025
DLF.NS,NSE,DLF Limited,DLF,,INE271C01023
TATASTEEL.NS,NSE,Tata Steel Limited,TATASTEEL,,INE081A01020
INDUSINDBK.NS,NSE,IndusInd Bank Limited,INDUSINDBK,,INE095A01012
YESBANK.NS,NSE,Yes Bank Limited,YESBANK,,INE528G01035
HINDALCO.NS,NSE,Hindalco Industries Limited,HINDALCO,,INE038A01020
PIDILITIND.NS,NSE,Pidilite Industries Limited,PIDILITIND,,INE318A01026
BAJAJFINSV.NS,NSE,Bajaj Finserv Limited,BAJAJFINSV,,INE918I01026
JSWENERGY.NS,NSE,JSW Energy Limited,JSWENERGY,,INE121E01018
KFINTECH.NS,NSE,Kfin Technologies Limited,KFINTECH,,INE138Y01010
BANKINDIA.NS,NSE,Bank of India,BANKINDIA,,INE084A01016
NESTLEIND.NS,NSE,Nestle India Limited,NESTLEIND,,INE239A01024
PAYTM.NS,NSE,One 97 Communications Limited,PAYTM,,INE982J01020
LODHA.NS,NSE,Lodha Developers Limited,LODHA,,INE670K01029
RECLTD.NS,NSE,REC Limited,RECLTD,,INE020B01018
ICICIPRULI.NS,NSE,ICICI Prudential Life Insurance Company Limited,ICICIPRULI,,INE726G01019
CDSL.NS,NSE,Central Depository Services (India) Limited,CDSL,,INE736A01011
ADANIPORTS.NS,NSE,Adani Ports and Special Economic Zone Limited,ADANIPORTS,,INE742F01042
CHOLAFIN.NS,NSE,Cholamandalam Investment and Finance Company Limited,CHOLAFIN,,INE121A01024
PAGEIND.NS,NSE,Page Industries Limited,PAGEIND,,INE761H01022
SUZLON.NS,NSE,Suzlon Energy Limited,SUZLON,,INE040H01021
INOXWIND.NS,NSE,Inox Wind Limited,INOXWIND,,INE066P01011
HDFCLIFE.NS,NSE,HDFC Life Insurance Company Limited,HDFCLIFE,,INE795G01014
MAZDOCK.NS,NSE,Mazagon Dock Shipbuilders Limited,MAZDOCK,,INE249Z01020
COLPAL.NS,NSE,Colgate Palmolive (India) Limited,COLPAL,,INE259A01022
HDFCBANK.NS,NSE,HDFC Bank Limited,HDFCBANK,,INE040A01034
ULTRACEMCO.NS,NSE,UltraTech Cement Limited,ULTRACEMCO,,INE481G01011
ANGELONE.NS,NSE,Angel One Limited,ANGELONE,,INE732I01013
TATATECH.NS,NSE,Tata Technologies Limited,TATATECH,,INE142M01025
WIPRO.NS,NSE,Wipro Limited,WIPRO,,INE075A01022
AXISBANK.NS,NSE,Axis Bank Limited,AXISBANK,,INE238A01034
TITAN.NS,NSE,Titan Company Limited,TITAN,,INE280A01028
TORNTPHARM.NS,NSE,Torrent Pharmaceuticals Limited,TORNTPHARM,,INE685A01028
GAIL.NS,NSE,GAIL (India) Limited,GAIL,,INE129A01019
GRASIM.NS,NSE,Grasim Industries Limited,GRASIM,,INE047A01021
ABB.NS,NSE,ABB India Limited,ABB,,INE117A01022
RVNL.NS,NSE,Rail Vikas Nigam Limited,RVNL,,INE415G01027
CANBK.NS,NSE,Canara Bank,CANBK,,INE476A01022
IRFC.NS,NSE,Indian Railway Finance Corporation Limited,IRFC,,INE053F01010
ETERNAL.NS,NSE,ETERNAL LIMITED,ETERNAL,,INE758T01015
SRF.NS,NSE,SRF Limited,SRF,,INE647A01010
DALBHARAT.NS,NSE,Dalmia Bharat Limited,DALBHARAT,,INE00R701025
GMRAIRPORT.NS,NSE,GMR AIRPORTS LIMITED,GMRAIRPORT,,INE776C01039
ITC.NS,NSE,ITC Limited,ITC,,INE154A01025
CUMMINSIND.NS,NSE,Cummins India Limited,CUMMINSIND,,INE298A01020
HAL.NS,NSE,Hindustan Aeronautics Limited,HAL,,INE066F01020
INDIANB.NS,NSE,Indian Bank,INDIANB,,INE562A01011
TECHM.NS,NSE,Tech Mahindra Limited,TECHM,,INE669C01036
MPHASIS.NS,NSE,MphasiS Limited,MPHASIS,,INE356A01018
HEROMOTOCO.NS,NSE,Hero MotoCorp Limited,HEROMOTOCO,,INE158A01026
MFSL.NS,NSE,Max Financial Services Limited,MFSL,,INE180A01020
IRCTC.NS,NSE,Indian Railway Catering And Tourism Corporation Limited,IRCTC,,INE335Y01020
BDL.NS,NSE,Bharat Dynamics Limited,BDL,,INE171Z01026
NYKAA.NS,NSE,FSN E-Commerce Ventures Limited,NYKAA,,INE388Y01029
DELHIVERY.NS,NSE,Delhivery Limited,DELHIVERY,,INE148O01028
AUBANK.NS,NSE,AU Small Finance Bank Limited,AUBANK,,INE949L01017
KALYANKJIL.NS,NSE,Kalyan Jewellers India Limited,KALYANKJIL,,INE303R01014
HCLTECH.NS,NSE,HCL Technologies Limited,HCLTECH,,INE860A01027
MANAPPURAM.NS,NSE,Manappuram Finance Limited,MANAPPURAM,,INE522D01027
IDFCFIRSTB.NS,NSE,IDFC First Bank Limited,IDFCFIRSTB,,INE092T01019
KPITTECH.NS,NSE,KPIT Technologies Limited,KPITTECH,,INE04I401011
COALINDIA.NS,NSE,Coal India Limited,COALINDIA,,INE522F01014
JUBLFOOD.NS,NSE,Jubilant Foodworks Limited,JUBLFOOD,,INE797F01020
OFSS.NS,NSE,Oracle Financial Services Software Limited,OFSS,,INE881D01027
LICI.NS,NSE,Life Insurance Corporation Of India,LICI,,INE0J1Y01017
INFY.NS,NSE,Infosys Limited,INFY,,INE009A01021
ASHOKLEY.NS,NSE,Ashok Leyland Limited,ASHOKLEY,,INE208A01029
OIL.NS,NSE,Oil India Limited,OIL,,INE274J01014
NAUKRI.NS,NSE,Info Edge (India) Limited,NAUKRI,,INE663F01032
IREDA.NS,NSE,Indian Renewable Energy Development Agency Limited,IREDA,,INE202E01016
LTF.NS,NSE,L&T Finance Limited,LTF,,INE498L01015
360ONE.NS,NSE,360 ONE WAM LIMITED,360ONE,,INE466L01038
COFORGE.NS,NSE,Coforge Limited,COFORGE,,INE591G01025
TCS.NS,NSE,Tata Consultancy Services Limited,TCS,,INE467B01029
TATAELXSI.NS,NSE,Tata Elxsi Limited,TATAELXSI,,INE670A01012
LTIM.NS,NSE,LTIMindtree Limited,LTIM,,INE214T01019
PERSISTENT.NS,NSE,Persistent Systems Limited,PERSISTENT,,INE262H01021
ABCAPITAL.NS,NSE,Aditya Birla Capital Limited,ABCAPITAL,,INE674K01013
SWIGGY.NS,NSE,Swiggy Limited,SWIGGY,,INE00H001014
TORNTPOWER.NS,NSE,Torrent Power Limited,TORNTPOWER,,INE813H01021
MCX.NS,NSE,Multi Commodity Exchange of India Limited,MCX,,INE745G01043
PREMIERENE.NS,NSE,Premier Energies Limited,PREMIERENE,,INE0BS701011
NUVAMA.NS,NSE,Nuvama Wealth Management Limited,NUVAMA,,INE531F01023
BHEL.NS,NSE,Bharat Heavy Electricals Limited,BHEL,,INE257A01026
